Date,Hour,Market Demand,Ontario Demand
1/1/18,1,18974,16627
1/1/18,2,18447,16084
1/1/18,3,18453,15866
1/1/18,4,18662,15725
1/1/18,5,18060,15470
1/1/18,6,18429,15502
1/1/18,7,19137,15750
1/1/18,8,19470,15887
1/1/18,9,19333,15923
1/1/18,10,19816,16381
1/1/18,11,19667,16672
1/1/18,12,19682,16720
1/1/18,13,19621,16839
1/1/18,14,19600,16772
1/1/18,15,19605,16868
1/1/18,16,20561,17314
1/1/18,17,21717,18081
1/1/18,18,23149,19339
1/1/18,19,22944,19249
1/1/18,20,22851,18960
1/1/18,21,22468,18663
1/1/18,22,21678,18074
1/1/18,23,20233,17218
1/1/18,24,19408,16356
1/2/18,1,19138,15809
1/2/18,2,18169,15465
1/2/18,3,18272,15255
1/2/18,4,18064,15236
1/2/18,5,18484,15275
1/2/18,6,19221,15726
1/2/18,7,20418,16874
1/2/18,8,21870,17897
1/2/18,9,22284,18232
1/2/18,10,22603,18739
1/2/18,11,23242,19030
1/2/18,12,22869,19126
1/2/18,13,22442,18984
1/2/18,14,21919,18873
1/2/18,15,21872,18753
1/2/18,16,22010,18883
1/2/18,17,22985,19396
1/2/18,18,24161,20331
1/2/18,19,23960,19890
1/2/18,20,23865,19937
1/2/18,21,23367,19633
1/2/18,22,21823,18816
1/2/18,23,20146,17792
1/2/18,24,19628,16921
1/3/18,1,19030,16277
1/3/18,2,18844,15835
1/3/18,3,18504,15606
1/3/18,4,18315,15554
1/3/18,5,18757,15656
1/3/18,6,19379,16088
1/3/18,7,20617,17140
1/3/18,8,21698,18148
1/3/18,9,21990,18464
1/3/18,10,22435,18933
1/3/18,11,22662,19013
1/3/18,12,22274,18830
1/3/18,13,22384,18804
1/3/18,14,22441,18848
1/3/18,15,22577,18860
1/3/18,16,22805,19119
1/3/18,17,23689,19471
1/3/18,18,24490,20380
1/3/18,19,24010,20108
1/3/18,20,23590,20005
1/3/18,21,23295,19754
1/3/18,22,22638,19002
1/3/18,23,21469,18102
1/3/18,24,19829,16963
1/4/18,1,18662,16223
1/4/18,2,18461,15787
1/4/18,3,18096,15467
1/4/18,4,17847,15185
1/4/18,5,18191,15412
1/4/18,6,19063,15902
1/4/18,7,20693,17158
1/4/18,8,21939,18198
1/4/18,9,22316,18537
1/4/18,10,22367,18760
1/4/18,11,22378,18699
1/4/18,12,22337,18639
1/4/18,13,22253,18537
1/4/18,14,22152,18546
1/4/18,15,21673,18299
1/4/18,16,22234,18613
1/4/18,17,22757,19028
1/4/18,18,23866,19935
1/4/18,19,23622,19930
1/4/18,20,23677,19980
1/4/18,21,23391,19856
1/4/18,22,23095,19678
1/4/18,23,21847,18889
1/4/18,24,20603,17940
1/5/18,1,19752,17475
1/5/18,2,19217,16808
1/5/18,3,19237,16679
1/5/18,4,19273,16620
1/5/18,5,19194,16706
1/5/18,6,19993,17173
1/5/18,7,21096,18123
1/5/18,8,22149,19177
1/5/18,9,22797,19660
1/5/18,10,23030,19836
1/5/18,11,23281,19789
1/5/18,12,23073,19773
1/5/18,13,22737,19585
1/5/18,14,22802,19503
1/5/18,15,22763,19430
1/5/18,16,22751,19647
1/5/18,17,23057,20022
1/5/18,18,24158,20906
1/5/18,19,24185,20706
