\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2018-08-30 08:02:56,,,,,,,,
\\For 2017,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
1/1/2017,1,0.00,5.94,0,0,,,
1/1/2017,2,0.00,0,2.2,0,,,
1/1/2017,3,0.00,0,0,0,,,
1/1/2017,4,0.00,0,0,0,,,
1/1/2017,5,0.00,0,0,0,,,
1/1/2017,6,0.00,0.01,0,1.99,,,
1/1/2017,7,0.00,5.94,6.04,6.02,,,
1/1/2017,8,1.71,6.74,8.42,6.74,,,
1/1/2017,9,0.00,5.74,5.7,5.84,,,
1/1/2017,10,0.00,5.94,5.94,0,,,
1/1/2017,11,0.82,6.92,6.92,5.9,,,
1/1/2017,12,0.00,14.35,14.37,14.35,,,
1/1/2017,13,0.00,6.04,14.39,14.34,,,
1/1/2017,14,0.00,6.02,14.36,14.39,,,
1/1/2017,15,0.95,8.2,14.26,14.29,,,
1/1/2017,16,6.44,20.09,14.39,14.35,,,
1/1/2017,17,1.31,59.47,64.04,62.47,,,
1/1/2017,18,12.30,26,30.09,47.15,,,
1/1/2017,19,19.65,26,26,26,,,
1/1/2017,20,6.26,30,30.09,26,,,
1/1/2017,21,12.97,26,26,26,,,
1/1/2017,22,12.98,26,26,26,,,
1/1/2017,23,12.98,26,26,14.39,,,
1/1/2017,24,40.95,26,26,21.14,,,
1/2/2017,1,17.58,24,26,20.61,,,
1/2/2017,2,22.08,14.38,14.38,14.35,,,
1/2/2017,3,6.44,13.04,14.21,9.09,,,
1/2/2017,4,0.00,6.04,6.02,5.94,,,
1/2/2017,5,0.00,9.09,5.94,5.7,,,
1/2/2017,6,-0.75,25,25,26,,,
1/2/2017,7,-0.25,25,25,26,,,
1/2/2017,8,-0.25,28.17,27.99,25,,,
1/2/2017,9,0.00,25.35,30,25,,,
1/2/2017,10,0.00,26,30.55,25,,,
1/2/2017,11,0.00,26,40.76,31.98,,,
1/2/2017,12,4.67,26,26,30,,,
1/2/2017,13,13.67,25.99,26,26,,,
1/2/2017,14,14.37,26,26,26,,,
1/2/2017,15,18.22,26,26,26,,,
1/2/2017,16,13.73,32.95,32.95,26,,,
1/2/2017,17,5.61,53.7,54.41,46.08,,,
1/2/2017,18,5.83,55.13,55,48.19,,,
1/2/2017,19,5.92,54,54,39.99,,,
1/2/2017,20,12.33,26,35,27.82,,,
1/2/2017,21,13.03,26,32.85,26,,,
1/2/2017,22,72.01,35.5,35,26,,,
1/2/2017,23,119.21,27,27,27.46,,,
1/2/2017,24,8.87,30.55,26,26,,,
1/3/2017,1,8.47,14.37,33.84,26,,,
1/3/2017,2,4.57,30,30,26,,,
1/3/2017,3,0.48,27.93,30,22.61,,,
1/3/2017,4,0.00,30,15,26,,,
1/3/2017,5,0.00,14.35,26,14.36,,,
1/3/2017,6,6.47,28,28,26,,,
1/3/2017,7,8.40,35,41.59,30,,,
1/3/2017,8,29.18,43.57,43.57,26,,,
1/3/2017,9,67.66,42,42,30.39,,,
1/3/2017,10,14.36,48.28,44.39,28,,,
1/3/2017,11,27.36,45.14,48.98,33.57,,,
1/3/2017,12,90.55,38.21,38.46,45,,,
1/3/2017,13,68.81,55,48.28,42,,,
